state,district,case_type,petitioner_won,resolution_years,year_disposed,lok_adalat_eligible
UP,Allahabad,criminal_assault,0,2.07,2023,0
UP,Allahabad,criminal_assault,1,7.9,2023,0
UP,Allahabad,criminal_assault,1,5.05,2023,0
UP,Allahabad,criminal_assault,0,1.85,2023,0
UP,Allahabad,criminal_assault,0,3.56,2023,0
UP,Allahabad,criminal_assault,0,2.39,2023,0
UP,Allahabad,criminal_assault,1,1.72,2023,0
UP,Allahabad,criminal_assault,0,6.82,2023,0
UP,Allahabad,criminal_assault,0,7.45,2023,0
UP,Allahabad,criminal_assault,0,1.95,2023,0
UP,Allahabad,criminal_assault,1,6.06,2023,0
UP,Allahabad,criminal_assault,0,3.68,2023,0
UP,Allahabad,criminal_assault,0,7.37,2023,0
UP,Allahabad,criminal_assault,1,5.32,2023,0
UP,Allahabad,criminal_assault,1,3.48,2023,0
UP,Allahabad,criminal_assault,0,5.08,2023,0
UP,Allahabad,criminal_assault,0,1.66,2023,0
UP,Allahabad,criminal_assault,1,2.46,2023,0
UP,Allahabad,criminal_assault,0,3.29,2023,0
UP,Allahabad,criminal_assault,1,3.26,2023,0
UP,Allahabad,criminal_assault,1,4.67,2023,0
UP,Allahabad,criminal_assault,1,4.76,2023,0
UP,Allahabad,criminal_assault,1,3.81,2023,0
UP,Allahabad,criminal_assault,0,4.24,2023,0
UP,Allahabad,criminal_assault,0,2.63,2023,0
UP,Allahabad,criminal_assault,1,2.45,2023,0
UP,Allahabad,criminal_assault,0,6.79,2023,0
UP,Allahabad,criminal_assault,0,3.52,2023,0
UP,Allahabad,criminal_assault,1,6.91,2023,0
UP,Allahabad,criminal_assault,1,5.85,2023,0
UP,Allahabad,criminal_assault,1,3.45,2023,0
UP,Allahabad,criminal_assault,0,6.9,2023,0
UP,Allahabad,criminal_assault,0,2.59,2023,0
UP,Allahabad,criminal_assault,1,3.61,2023,0
UP,Allahabad,criminal_assault,1,3.75,2023,0
UP,Allahabad,criminal_assault,1,4.39,2023,0
UP,Allahabad,criminal_assault,0,1.68,2023,0
UP,Allahabad,criminal_theft,1,7.52,2023,0
UP,Allahabad,criminal_theft,1,3.8,2023,0
UP,Allahabad,criminal_theft,1,6.16,2023,0
UP,Allahabad,criminal_theft,1,5.01,2023,0
UP,Allahabad,criminal_theft,1,2.23,2023,0
UP,Allahabad,criminal_theft,1,4.2,2023,0
UP,Allahabad,criminal_theft,1,3.65,2023,0
UP,Allahabad,criminal_theft,1,3.11,2023,0
UP,Allahabad,criminal_theft,1,6.03,2023,0
UP,Allahabad,criminal_theft,1,7.04,2023,0
UP,Allahabad,criminal_theft,0,5.41,2023,0
UP,Allahabad,criminal_theft,1,3.51,2023,0
UP,Allahabad,criminal_theft,1,6.31,2023,0
UP,Allahabad,criminal_theft,1,4.4,2023,0
UP,Allahabad,criminal_theft,0,7.22,2023,0
UP,Allahabad,criminal_theft,0,6.37,2023,0
UP,Allahabad,criminal_theft,0,4.72,2023,0
UP,Allahabad,criminal_theft,1,5.38,2023,0
UP,Allahabad,criminal_theft,0,7.53,2023,0
UP,Allahabad,criminal_theft,0,3.03,2023,0
UP,Allahabad,criminal_theft,0,5.65,2023,0
UP,Allahabad,criminal_theft,1,5.74,2023,0
UP,Allahabad,criminal_theft,1,4.43,2023,0
UP,Allahabad,criminal_theft,1,1.65,2023,0
UP,Allahabad,criminal_theft,0,1.5,2023,0
UP,Allahabad,criminal_theft,1,2.66,2023,0
UP,Allahabad,criminal_theft,1,6.9,2023,0
UP,Allahabad,criminal_theft,1,4.71,2023,0
UP,Allahabad,criminal_theft,1,2.92,2023,0
UP,Allahabad,criminal_theft,0,1.7,2023,0
UP,Allahabad,criminal_theft,0,7.75,2023,0
UP,Allahabad,criminal_theft,1,7.99,2023,0
UP,Allahabad,criminal_theft,1,2.04,2023,0
UP,Allahabad,criminal_theft,1,7.73,2023,0
UP,Allahabad,criminal_theft,1,4.39,2023,0
UP,Allahabad,criminal_theft,1,7.86,2023,0
UP,Allahabad,criminal_theft,1,7.4,2023,0
UP,Allahabad,criminal_theft,0,6.53,2023,0
UP,Allahabad,criminal_theft,0,6.56,2023,0
UP,Allahabad,criminal_theft,1,5.43,2023,0
UP,Allahabad,criminal_theft,0,7.2,2023,0
UP,Allahabad,criminal_theft,0,5.42,2023,0
UP,Allahabad,criminal_theft,0,4.56,2023,0
UP,Allahabad,criminal_theft,1,6.39,2023,0
UP,Allahabad,criminal_theft,0,5.06,2023,0
UP,Allahabad,criminal_theft,0,5.23,2023,0
UP,Allahabad,criminal_theft,1,6.85,2023,0
UP,Allahabad,criminal_theft,0,3.93,2023,0
UP,Allahabad,criminal_theft,1,7.79,2023,0
UP,Allahabad,criminal_theft,0,7.27,2023,0
UP,Allahabad,matrimonial,0,1.94,2023,1
UP,Allahabad,matrimonial,0,1.34,2023,1
UP,Allahabad,matrimonial,0,1.3,2023,1
UP,Allahabad,matrimonial,1,1.11,2023,1
UP,Allahabad,matrimonial,1,1.48,2023,1
UP,Allahabad,matrimonial,1,3.49,2023,1
UP,Allahabad,matrimonial,1,1.06,2023,1
UP,Allahabad,matrimonial,1,3.16,2023,1
UP,Allahabad,matrimonial,1,1.52,2023,1
UP,Allahabad,matrimonial,1,3.34,2023,1
UP,Allahabad,matrimonial,1,2.93,2023,1
UP,Allahabad,matrimonial,1,1.23,2023,1
UP,Allahabad,matrimonial,1,2.04,2023,1
UP,Allahabad,matrimonial,0,3.7,2023,1
UP,Allahabad,matrimonial,1,2.7,2023,1
UP,Allahabad,matrimonial,1,1.0,2023,1
UP,Allahabad,matrimonial,1,4.67,2023,1
UP,Allahabad,matrimonial,1,1.48,2023,1
UP,Allahabad,matrimonial,0,4.33,2023,1
UP,Allahabad,matrimonial,1,4.81,2023,1
UP,Allahabad,matrimonial,0,2.84,2023,1
UP,Allahabad,matrimonial,1,3.83,2023,1
UP,Allahabad,matrimonial,1,3.91,2023,1
UP,Allahabad,matrimonial,1,4.57,2023,1
UP,Allahabad,matrimonial,1,4.69,2023,1
UP,Allahabad,matrimonial,1,4.2,2023,1
UP,Allahabad,matrimonial,1,3.43,2023,1
UP,Allahabad,matrimonial,0,3.91,2023,1
UP,Allahabad,matrimonial,1,2.76,2023,1
UP,Allahabad,matrimonial,0,3.02,2023,1
UP,Allahabad,matrimonial,1,1.7,2023,1
UP,Allahabad,matrimonial,1,4.94,2023,1
UP,Allahabad,matrimonial,1,4.07,2023,1
UP,Allahabad,matrimonial,1,1.36,2023,1
UP,Allahabad,matrimonial,1,2.15,2023,1
UP,Allahabad,matrimonial,1,3.38,2023,1
UP,Allahabad,matrimonial,0,2.55,2023,1
UP,Allahabad,matrimonial,1,1.25,2023,1
UP,Allahabad,matrimonial,1,3.53,2023,1
UP,Allahabad,matrimonial,1,3.11,2023,1
UP,Allahabad,matrimonial,0,4.55,2023,1
UP,Allahabad,matrimonial,1,1.68,2023,1
UP,Allahabad,matrimonial,0,3.73,2023,1
UP,Allahabad,matrimonial,0,1.33,2023,1
UP,Allahabad,matrimonial,1,2.95,2023,1
UP,Allahabad,matrimonial,0,2.29,2023,1
UP,Allahabad,matrimonial,1,4.31,2023,1
UP,Allahabad,matrimonial,0,2.73,2023,1
UP,Allahabad,matrimonial,0,4.28,2023,1
UP,Allahabad,matrimonial,1,3.56,2023,1
UP,Allahabad,labour_dispute,0,7.82,2023,1
UP,Allahabad,labour_dispute,0,9.34,2023,1
UP,Allahabad,labour_dispute,1,4.84,2023,1
UP,Allahabad,labour_dispute,1,9.25,2023,1
UP,Allahabad,labour_dispute,1,9.57,2023,1
UP,Allahabad,labour_dispute,1,3.46,2023,1
UP,Allahabad,labour_dispute,1,6.67,2023,1
UP,Allahabad,labour_dispute,1,2.42,2023,1
UP,Allahabad,labour_dispute,0,7.6,2023,1
UP,Allahabad,labour_dispute,1,5.09,2023,1
UP,Allahabad,labour_dispute,1,9.82,2023,1
UP,Allahabad,labour_dispute,0,4.04,2023,1
UP,Allahabad,labour_dispute,0,5.75,2023,1
UP,Allahabad,labour_dispute,1,3.11,2023,1
UP,Allahabad,labour_dispute,1,7.04,2023,1
UP,Allahabad,labour_dispute,1,7.32,2023,1
UP,Allahabad,labour_dispute,0,5.11,2023,1
UP,Allahabad,labour_dispute,0,7.28,2023,1
UP,Allahabad,labour_dispute,0,9.68,2023,1
UP,Allahabad,labour_dispute,0,8.6,2023,1
UP,Allahabad,labour_dispute,0,4.97,2023,1
UP,Allahabad,labour_dispute,1,3.19,2023,1
UP,Allahabad,labour_dispute,0,2.13,2023,1
UP,Allahabad,labour_dispute,1,5.4,2023,1
UP,Allahabad,labour_dispute,1,7.42,2023,1
UP,Allahabad,labour_dispute,1,5.69,2023,1
UP,Allahabad,labour_dispute,1,4.35,2023,1
UP,Allahabad,labour_dispute,1,2.71,2023,1
UP,Allahabad,labour_dispute,0,5.72,2023,1
UP,Allahabad,labour_dispute,0,5.53,2023,1
UP,Allahabad,labour_dispute,1,5.3,2023,1
UP,Allahabad,labour_dispute,0,3.15,2023,1
UP,Allahabad,labour_dispute,0,3.63,2023,1
UP,Allahabad,labour_dispute,1,4.57,2023,1
UP,Allahabad,labour_dispute,1,9.53,2023,1
UP,Allahabad,labour_dispute,1,6.78,2023,1
UP,Allahabad,labour_dispute,0,4.92,2023,1
UP,Allahabad,labour_dispute,0,6.24,2023,1
UP,Allahabad,labour_dispute,0,7.3,2023,1
UP,Allahabad,labour_dispute,1,7.7,2023,1
UP,Allahabad,labour_dispute,0,8.28,2023,1
UP,Allahabad,labour_dispute,1,3.27,2023,1
UP,Allahabad,labour_dispute,0,8.79,2023,1
UP,Allahabad,labour_dispute,0,5.22,2023,1
UP,Allahabad,labour_dispute,1,3.25,2023,1
UP,Allahabad,labour_dispute,1,6.14,2023,1
UP,Allahabad,labour_dispute,1,8.34,2023,1
UP,Allahabad,labour_dispute,0,7.6,2023,1
UP,Allahabad,labour_dispute,1,2.72,2023,1
UP,Allahabad,labour_dispute,0,6.99,2023,1
UP,Allahabad,motor_accident,1,3.77,2023,1
UP,Allahabad,motor_accident,1,3.04,2023,1
UP,Allahabad,motor_accident,1,6.46,2023,1
UP,Allahabad,motor_accident,1,8.98,2023,1
UP,Allahabad,motor_accident,0,3.55,2023,1
UP,Allahabad,motor_accident,0,6.47,2023,1
UP,Allahabad,motor_accident,1,9.08,2023,1
UP,Allahabad,motor_accident,0,6.72,2023,1
UP,Allahabad,motor_accident,0,8.01,2023,1
UP,Allahabad,motor_accident,1,3.74,2023,1
UP,Allahabad,motor_accident,0,3.45,2023,1
UP,Allahabad,motor_accident,1,9.86,2023,1
UP,Allahabad,motor_accident,1,9.66,2023,1
UP,Allahabad,motor_accident,0,7.33,2023,1
UP,Allahabad,motor_accident,0,5.16,2023,1
UP,Allahabad,motor_accident,1,3.41,2023,1
UP,Allahabad,motor_accident,1,2.19,2023,1
UP,Allahabad,motor_accident,0,6.6,2023,1
UP,Allahabad,motor_accident,1,6.76,2023,1
UP,Allahabad,motor_accident,1,5.27,2023,1
UP,Allahabad,motor_accident,0,9.08,2023,1
UP,Allahabad,motor_accident,1,9.89,2023,1
UP,Allahabad,motor_accident,1,8.92,2023,1
UP,Allahabad,motor_accident,0,5.13,2023,1
UP,Allahabad,motor_accident,1,2.84,2023,1
UP,Allahabad,motor_accident,1,2.0,2023,1
UP,Allahabad,motor_accident,1,2.95,2023,1
UP,Allahabad,motor_accident,0,6.82,2023,1
UP,Allahabad,motor_accident,0,5.03,2023,1
UP,Allahabad,motor_accident,1,2.01,2023,1
UP,Allahabad,motor_accident,1,5.46,2023,1
UP,Allahabad,motor_accident,0,3.34,2023,1
UP,Allahabad,motor_accident,1,5.88,2023,1
UP,Allahabad,motor_accident,1,3.18,2023,1
UP,Allahabad,motor_accident,0,3.08,2023,1
UP,Allahabad,motor_accident,0,2.25,2023,1
UP,Allahabad,motor_accident,1,2.45,2023,1
UP,Allahabad,motor_accident,0,5.13,2023,1
UP,Allahabad,motor_accident,0,8.61,2023,1
UP,Allahabad,motor_accident,0,2.01,2023,1
UP,Allahabad,motor_accident,1,5.06,2023,1
UP,Allahabad,motor_accident,1,8.38,2023,1
UP,Allahabad,motor_accident,0,3.23,2023,1
UP,Allahabad,motor_accident,1,8.12,2023,1
UP,Allahabad,motor_accident,0,7.15,2023,1
UP,Allahabad,motor_accident,1,5.06,2023,1
UP,Allahabad,motor_accident,0,3.95,2023,1
UP,Allahabad,motor_accident,1,3.38,2023,1
UP,Allahabad,motor_accident,0,2.18,2023,1
UP,Allahabad,motor_accident,1,3.54,2023,1
UP,Allahabad,cheque_bounce,1,3.41,2023,1
UP,Allahabad,cheque_bounce,0,8.98,2023,1
UP,Allahabad,cheque_bounce,1,9.84,2023,1
UP,Allahabad,cheque_bounce,1,7.72,2023,1
UP,Allahabad,cheque_bounce,0,9.69,2023,1
UP,Allahabad,cheque_bounce,0,5.58,2023,1
UP,Allahabad,cheque_bounce,1,2.63,2023,1
UP,Allahabad,cheque_bounce,1,5.79,2023,1
UP,Allahabad,cheque_bounce,1,3.99,2023,1
UP,Allahabad,cheque_bounce,1,6.22,2023,1
UP,Allahabad,cheque_bounce,1,6.37,2023,1
UP,Allahabad,cheque_bounce,1,7.4,2023,1
UP,Allahabad,cheque_bounce,0,7.75,2023,1
UP,Allahabad,cheque_bounce,0,2.54,2023,1
UP,Allahabad,cheque_bounce,1,8.15,2023,1
UP,Allahabad,cheque_bounce,0,8.45,2023,1
UP,Allahabad,cheque_bounce,1,4.45,2023,1
UP,Allahabad,cheque_bounce,0,6.38,2023,1
UP,Allahabad,cheque_bounce,0,3.53,2023,1
UP,Allahabad,cheque_bounce,0,8.23,2023,1
UP,Allahabad,cheque_bounce,1,7.75,2023,1
UP,Allahabad,cheque_bounce,1,7.49,2023,1
UP,Allahabad,cheque_bounce,0,9.02,2023,1
UP,Allahabad,cheque_bounce,1,4.85,2023,1
UP,Allahabad,cheque_bounce,1,2.79,2023,1
UP,Allahabad,cheque_bounce,1,2.31,2023,1
UP,Allahabad,cheque_bounce,0,7.28,2023,1
UP,Allahabad,cheque_bounce,0,6.73,2023,1
UP,Allahabad,cheque_bounce,1,7.43,2023,1
UP,Allahabad,cheque_bounce,1,5.81,2023,1
UP,Allahabad,cheque_bounce,0,3.12,2023,1
UP,Allahabad,cheque_bounce,0,8.5,2023,1
UP,Allahabad,cheque_bounce,1,7.27,2023,1
UP,Allahabad,cheque_bounce,1,2.15,2023,1
UP,Allahabad,cheque_bounce,1,5.94,2023,1
UP,Allahabad,cheque_bounce,1,5.02,2023,1
UP,Allahabad,cheque_bounce,1,5.05,2023,1
UP,Allahabad,cheque_bounce,0,4.43,2023,1
UP,Allahabad,cheque_bounce,1,3.71,2023,1
UP,Allahabad,cheque_bounce,1,3.51,2023,1
UP,Allahabad,cheque_bounce,0,4.26,2023,1
UP,Allahabad,cheque_bounce,1,7.99,2023,1
UP,Allahabad,cheque_bounce,1,5.52,2023,1
UP,Allahabad,cheque_bounce,0,2.8,2023,1
UP,Allahabad,cheque_bounce,0,8.45,2023,1
UP,Allahabad,cheque_bounce,1,3.36,2023,1
UP,Allahabad,cheque_bounce,1,9.77,2023,1
UP,Allahabad,cheque_bounce,0,8.49,2023,1
UP,Allahabad,cheque_bounce,0,2.92,2023,1
UP,Allahabad,cheque_bounce,0,3.57,2023,1
UP,Allahabad,service_matter,0,5.89,2023,0
UP,Allahabad,service_matter,0,6.13,2023,0
UP,Allahabad,service_matter,0,4.22,2023,0
UP,Allahabad,service_matter,0,4.89,2023,0
UP,Allahabad,service_matter,1,8.6,2023,0
UP,Allahabad,service_matter,0,3.4,2023,0
UP,Allahabad,service_matter,1,8.68,2023,0
UP,Allahabad,service_matter,0,3.86,2023,0
UP,Allahabad,service_matter,0,8.86,2023,0
UP,Allahabad,service_matter,1,5.33,2023,0
UP,Allahabad,service_matter,1,4.37,2023,0
UP,Allahabad,service_matter,1,2.06,2023,0
UP,Allahabad,service_matter,0,3.62,2023,0
UP,Allahabad,service_matter,0,8.4,2023,0
UP,Allahabad,service_matter,0,9.92,2023,0
UP,Allahabad,service_matter,0,7.51,2023,0
UP,Allahabad,service_matter,0,7.12,2023,0
UP,Allahabad,service_matter,0,5.15,2023,0
UP,Allahabad,service_matter,1,2.11,2023,0
UP,Allahabad,service_matter,1,2.99,2023,0
UP,Allahabad,service_matter,1,8.79,2023,0
UP,Allahabad,service_matter,1,6.33,2023,0
UP,Allahabad,service_matter,0,5.05,2023,0
UP,Allahabad,service_matter,1,6.73,2023,0
UP,Allahabad,service_matter,1,3.8,2023,0
UP,Allahabad,service_matter,0,8.97,2023,0
UP,Allahabad,service_matter,1,2.07,2023,0
UP,Allahabad,service_matter,1,4.71,2023,0
UP,Allahabad,service_matter,1,9.75,2023,0
UP,Allahabad,service_matter,1,2.19,2023,0
UP,Allahabad,service_matter,1,5.12,2023,0
UP,Allahabad,service_matter,0,7.18,2023,0
UP,Allahabad,service_matter,1,6.85,2023,0
UP,Allahabad,service_matter,1,5.85,2023,0
UP,Allahabad,service_matter,1,8.32,2023,0
UP,Allahabad,service_matter,0,5.0,2023,0
UP,Allahabad,service_matter,1,7.21,2023,0
UP,Allahabad,service_matter,1,7.63,2023,0
UP,Allahabad,service_matter,0,5.14,2023,0
UP,Allahabad,service_matter,1,7.09,2023,0
UP,Allahabad,service_matter,1,5.82,2023,0
UP,Allahabad,service_matter,1,10.0,2023,0
UP,Allahabad,service_matter,0,5.7,2023,0
UP,Allahabad,service_matter,1,5.41,2023,0
UP,Allahabad,service_matter,1,4.66,2023,0
UP,Allahabad,service_matter,1,9.0,2023,0
UP,Allahabad,service_matter,1,6.91,2023,0
UP,Allahabad,service_matter,1,3.36,2023,0
UP,Allahabad,service_matter,1,3.96,2023,0
UP,Allahabad,service_matter,0,7.68,2023,0
UP,Allahabad,constitutional,1,2.55,2023,0
UP,Allahabad,constitutional,1,2.9,2023,0
UP,Allahabad,constitutional,1,5.67,2023,0
UP,Allahabad,constitutional,0,6.11,2023,0
UP,Allahabad,constitutional,0,2.34,2023,0
UP,Allahabad,constitutional,0,2.96,2023,0
UP,Allahabad,constitutional,1,9.22,2023,0
UP,Allahabad,constitutional,1,7.28,2023,0
UP,Allahabad,constitutional,1,4.54,2023,0
UP,Allahabad,constitutional,1,7.71,2023,0
UP,Allahabad,constitutional,1,2.36,2023,0
UP,Allahabad,constitutional,1,7.66,2023,0
UP,Allahabad,constitutional,0,3.44,2023,0
UP,Allahabad,constitutional,0,2.98,2023,0
UP,Allahabad,constitutional,1,7.27,2023,0
UP,Allahabad,constitutional,0,8.71,2023,0
UP,Allahabad,constitutional,0,2.94,2023,0
UP,Allahabad,constitutional,0,3.63,2023,0
UP,Allahabad,constitutional,1,5.41,2023,0
UP,Allahabad,constitutional,1,4.07,2023,0
UP,Allahabad,constitutional,0,2.15,2023,0
UP,Allahabad,constitutional,0,8.33,2023,0
UP,Allahabad,constitutional,0,8.72,2023,0
UP,Allahabad,constitutional,1,7.94,2023,0
UP,Allahabad,constitutional,1,3.91,2023,0
UP,Allahabad,constitutional,0,2.86,2023,0
UP,Allahabad,constitutional,0,3.94,2023,0
UP,Allahabad,constitutional,0,8.12,2023,0
UP,Allahabad,constitutional,0,8.01,2023,0
UP,Allahabad,constitutional,1,4.04,2023,0
UP,Allahabad,constitutional,1,5.99,2023,0
UP,Allahabad,constitutional,1,3.88,2023,0
UP,Allahabad,constitutional,0,9.59,2023,0
UP,Allahabad,constitutional,0,3.96,2023,0
UP,Allahabad,constitutional,0,2.68,2023,0
UP,Allahabad,constitutional,0,7.73,2023,0
UP,Allahabad,constitutional,1,7.84,2023,0
UP,Allahabad,constitutional,1,3.01,2023,0
UP,Allahabad,constitutional,1,7.39,2023,0
UP,Allahabad,constitutional,0,8.77,2023,0
UP,Allahabad,constitutional,1,9.15,2023,0
UP,Allahabad,constitutional,0,3.25,2023,0
UP,Allahabad,constitutional,1,6.86,2023,0
UP,Allahabad,constitutional,1,2.31,2023,0
UP,Allahabad,constitutional,0,7.4,2023,0
UP,Allahabad,constitutional,1,3.38,2023,0
UP,Allahabad,constitutional,1,4.28,2023,0
UP,Allahabad,constitutional,1,3.66,2023,0
UP,Allahabad,constitutional,1,9.02,2023,0
UP,Allahabad,constitutional,0,3.19,2023,0
UP,Lucknow,land_acquisition,1,21.99,2023,0
UP,Lucknow,land_acquisition,1,5.92,2023,0
UP,Lucknow,land_acquisition,1,22.09,2023,0
UP,Lucknow,land_acquisition,0,5.33,2023,0
UP,Lucknow,land_acquisition,0,24.51,2023,0
UP,Lucknow,land_acquisition,0,12.21,2023,0
UP,Lucknow,land_acquisition,1,12.7,2023,0
UP,Lucknow,land_acquisition,0,6.84,2023,0
UP,Lucknow,land_acquisition,0,12.11,2023,0
UP,Lucknow,land_acquisition,0,22.92,2023,0
UP,Lucknow,land_acquisition,1,23.4,2023,0
UP,Lucknow,land_acquisition,1,16.05,2023,0
UP,Lucknow,land_acquisition,0,16.28,2023,0
UP,Lucknow,land_acquisition,1,20.5,2023,0
UP,Lucknow,land_acquisition,1,13.35,2023,0
UP,Lucknow,land_acquisition,0,14.41,2023,0
UP,Lucknow,land_acquisition,1,17.92,2023,0
UP,Lucknow,land_acquisition,0,6.09,2023,0
UP,Lucknow,land_acquisition,1,15.49,2023,0
UP,Lucknow,land_acquisition,0,14.53,2023,0
UP,Lucknow,land_acquisition,1,6.31,2023,0
UP,Lucknow,land_acquisition,1,18.81,2023,0
UP,Lucknow,land_acquisition,1,18.53,2023,0
UP,Lucknow,land_acquisition,0,16.75,2023,0
UP,Lucknow,land_acquisition,1,16.79,2023,0
UP,Lucknow,land_acquisition,0,22.71,2023,0
